run_time;source;published;title;link
05.12.2025 14:06:19;DennikN;Fri, 05 Dec 2025 10:28:13 +0000;Prieskum: Väčšina spoločnosti odmieta, aby Fico posielal študentov bojovať na Ukrajinu. Prekáža to aj veľkej časti voličov Hlasu;https://dennikn.sk/5006941/prieskum-vacsina-spolocnosti-odmieta-aby-fico-posielal-studentov-bojovat-na-ukrajinu-prekaza-to-aj-velkej-casti-volicov-hlasu/
05.12.2025 14:06:19;DennikN;Fri, 05 Dec 2025 08:59:30 +0000;Orgovánová: Premiér Fico žiadal empatiu po atentáte, teraz ju odopiera žene, ktorej uhoreli deti;https://dennikn.sk/5010279/orgovanova-premier-fico-ziadal-empatiu-po-atentate-teraz-ju-odopiera-zene-ktorej-uhoreli-deti/
05.12.2025 14:06:19;Aktuality;Fri, 05 Dec 2025 14:52:20 +0100;Vážna dopravná nehoda pri Trebišove: Auto skončilo čelne v priekope;https://www.aktuality.sk/clanok/w8RTZxf/vazna-dopravna-nehoda-pri-trebisove-auto-skoncilo-celne-v-priekope/
